time/total_timesteps,train/n_updates,train/actor_loss,train/reward,train/critic_loss,time/time_elapsed,time/fps,time/episodes,train/learning_rate
10112,7584,0.9514702846402232,-0.007855707,0.0027389617742163046,259,38,4,0.01
20224,17696,0.012416722516373059,-0.007855707,5.3917161413302225e-05,563,35,8,0.01
30336,27808,-0.0017757091265033973,-0.007855707,5.7887781590752524e-05,870,34,12,0.01
40448,37920,-0.011156934313107682,-0.007855707,5.996339581891253e-05,1179,34,16,0.01
50560,48032,-0.016487231107113316,-0.007855707,5.9934047459580454e-05,1490,33,20,0.01
60672,58144,-0.019484034712909708,-0.007855707,6.043267938257256e-05,1798,33,24,0.01
70784,68256,-0.02194115278735474,-0.007855707,6.048978464452628e-05,2120,33,28,0.01
80896,78368,-0.023225529070006377,-0.007855707,6.098285735454657e-05,2440,33,32,0.01
91008,88480,-0.023720100623720528,-0.007855707,6.210902778738146e-05,2775,32,36,0.01
101120,98592,-0.02371380181358302,-0.007855707,6.178208135481005e-05,3146,32,40,0.01
111232,108704,-0.024658133436430574,-0.007855707,6.194735111850167e-05,3474,32,44,0.01
121344,118816,-0.024762428272073454,-0.007855707,6.200148637441964e-05,3832,31,48,0.01
131456,128928,-0.025115281896801265,-0.007855707,6.208040460688619e-05,4184,31,52,0.01
141568,139040,-0.024819699079947712,-0.007855707,6.231827017435408e-05,4524,31,56,0.01
151680,149152,-0.02489686108200186,-0.007855707,6.21664521862771e-05,4864,31,60,0.01
161792,159264,-0.02540540684359384,-0.007855707,6.225813669078877e-05,5206,31,64,0.01
171904,169376,-0.025435885049762276,-0.007855707,6.17278410126795e-05,5561,30,68,0.01
182016,179488,-0.025732511387035674,-0.007855707,6.23282880325595e-05,5905,30,72,0.01
192128,189600,-0.025906469385564044,-0.007855707,6.301723191977026e-05,6249,30,76,0.01
202240,199712,-0.025948591037399927,-0.007855707,6.22599611112572e-05,6594,30,80,0.01
