time/fps,time/iterations,time/total_timesteps,train/reward,time/time_elapsed,train/clip_fraction,train/clip_range,train/loss,train/value_loss,train/n_updates,train/std,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss
72,1,2048,0.0,28,,,,,,,,,,,
72,2,4096,0.0,56,0.987744140625,0.2,-0.8641346096992493,0.09836045512929559,10,3.7513554096221924,40.03062,0.01,-2.7913191318511963,-89.13533937931061,0.30782095370814205
72,3,6144,0.0,84,0.9802734375,0.2,-1.3509883880615234,0.0042979235004168,20,10.447318077087402,25.612812,0.01,-0.9833928346633911,-143.26627964973449,0.3256337234808598
72,4,8192,-6.7501187e-06,113,0.77939453125,0.2,-1.4987869262695312,0.0004608341841958463,30,10.648526191711426,0.22850901,0.01,-0.8282808065414429,-168.85368118286132,0.13111435336759314
56,5,10240,0.0035086821,181,0.703662109375,0.2,-1.5774322748184204,9.78221208697505e-05,40,10.794018745422363,0.18182427,0.01,-0.9835422039031982,-169.18938398361206,0.0872116481536068
43,6,12288,0.0,282,0.71376953125,0.2,-1.5186424255371094,4.599342729534328e-05,50,11.041269302368164,0.16440725,0.01,-0.4722449779510498,-169.97580261230468,0.0703085182904033
37,7,14336,-9.726278e-07,382,0.692919921875,0.2,-1.6270471811294556,1.0377718249543477e-05,60,11.174538612365723,0.13589227,0.01,-2.136781930923462,-170.60702419281006,0.06780000648577697
33,8,16384,0.0,482,0.768212890625,0.2,-1.6924095153808594,9.44803183017484e-05,70,11.572335243225098,0.27635968,0.01,-0.15966176986694336,-171.57958364486694,0.06713554419693538
31,9,18432,-5.8862447e-06,582,0.7185546875,0.2,-1.6581727266311646,0.00012402191190687972,80,11.825774192810059,0.18500417,0.01,-0.28596580028533936,-172.92347106933593,0.0573588590399595
30,10,20480,0.001560562,682,0.71181640625,0.2,-1.6342179775238037,4.94466453858422e-05,90,12.105856895446777,0.15578327,0.01,-0.16931700706481934,-173.96630640029906,0.0491938819992356
28,11,22528,0.0,783,0.773583984375,0.2,-1.7117888927459717,0.0002877776130816301,100,12.574443817138672,0.27087468,0.01,0.0620691180229187,-175.60997905731202,0.04703493853739928
27,12,24576,6.4626574e-06,883,0.60029296875,0.2,-1.7481656074523926,2.972502234683816e-05,110,12.714753150939941,0.07787998,0.01,-1.7541370391845703,-176.27530794143678,0.05099797066068277
27,13,26624,0.0,983,0.630322265625,0.2,-1.6957238912582397,1.290048243305364e-05,120,12.85811996459961,0.12177846,0.01,-0.053704023361206055,-176.86007976531982,0.04598349419538863
26,14,28672,0.0,1083,0.656005859375,0.2,-1.7342900037765503,0.00029290784651152534,130,13.040942192077637,0.104181305,0.01,0.15537375211715698,-177.3998622894287,0.05673253857530654
25,15,30720,-3.8904825e-05,1183,0.581591796875,0.2,-1.693483591079712,0.00020545114890637705,140,13.10754108428955,0.07124779,0.01,-0.8918166160583496,-177.7170126914978,0.040108327972120605
25,16,32768,0.0,1283,0.62900390625,0.2,-1.706439733505249,1.941089352897052e-05,150,13.16015338897705,0.11143302,0.01,-0.02865016460418701,-178.0913890838623,0.040352602332131934
25,17,34816,0.0,1384,0.602001953125,0.2,-1.6956795454025269,1.1094831707580965e-06,160,13.263884544372559,0.0695367,0.01,-1.841749668121338,-178.58184967041015,0.06007002354308497
24,18,36864,0.0,1484,0.646875,0.2,-1.757753610610962,0.013990765442486008,170,13.48095703125,0.09173636,0.01,0.05726504325866699,-179.0888680458069,0.0168578936252743
23,19,38912,0.0,1643,0.68125,0.2,-1.7541356086730957,0.00016380850460251395,180,13.750386238098145,0.14229318,0.01,-0.13551616668701172,-179.91248817443847,0.046055642273859124
23,20,40960,-5.086249e-05,1744,0.678125,0.2,-1.7782357931137085,0.0006374126210971553,190,14.089346885681152,0.13940662,0.01,-0.19772791862487793,-180.92813625335694,0.0266800865312689
23,21,43008,0.00022818142,1843,0.579736328125,0.2,-1.803052544593811,2.9119579431835517e-05,200,14.282988548278809,0.06908557,0.01,-0.37358295917510986,-181.63419198989868,0.04052360859059263
23,22,45056,0.0,1944,0.55390625,0.2,-1.7740726470947266,6.608487250048256e-06,210,14.4097900390625,0.065843366,0.01,-0.7821464538574219,-182.02693338394164,0.03501563242753036
23,23,47104,-9.098315e-06,2044,0.651806640625,0.2,-1.7980492115020752,0.00019179569356992944,220,14.571112632751465,0.113502376,0.01,0.10611462593078613,-182.49211502075195,0.037819570064311844
22,24,49152,0.0,2144,0.569189453125,0.2,-1.8163729906082153,0.004487046584995369,230,14.806352615356445,0.055584304,0.01,-0.009155631065368652,-183.25613079071044,0.028910479435580783
22,25,51200,8.879089e-06,2246,0.54326171875,0.2,-1.7373640537261963,2.0151913267341116e-05,240,14.880647659301758,0.05929995,0.01,-0.6690294742584229,-183.4306671142578,0.040102465561358255
22,26,53248,-0.00066670263,2347,0.639404296875,0.2,-1.8099098205566406,1.8905071939911977e-05,250,15.062811851501465,0.08616484,0.01,0.24438273906707764,-184.14776496887208,0.03701185963000171
22,27,55296,0.0,2449,0.606494140625,0.2,-1.7774840593338013,7.063898039945115e-05,260,15.12391185760498,0.08650507,0.01,-0.046125054359436035,-184.35329580307007,0.035018174140714106
22,28,57344,2.6747257e-05,2549,0.522265625,0.2,-1.7836300134658813,3.839456462628732e-06,270,15.175591468811035,0.06289227,0.01,-0.9446855783462524,-184.36712284088134,0.030736920799245126
22,29,59392,0.0,2651,0.62041015625,0.2,-1.8193905353546143,0.00016393192376540355,280,15.35769271850586,0.11503525,0.01,-0.18618571758270264,-184.89932165145873,0.03188711545226397
22,30,61440,5.1430225e-06,2751,0.5126953125,0.2,-1.7965964078903198,4.056486471313292e-05,290,15.504212379455566,0.062277723,0.01,-0.6025270223617554,-185.3182357788086,0.03781106250535231
22,31,63488,-6.6998866e-05,2852,0.576416015625,0.2,-1.8193320035934448,2.9004130416865338e-05,300,15.733564376831055,0.06392342,0.01,-0.021649837493896484,-185.97650985717775,0.03887656843289733
22,32,65536,0.0,2954,0.56640625,0.2,-1.803807258605957,0.004858153126701836,310,15.974554061889648,0.070387155,0.01,0.06939291954040527,-186.67174644470214,0.02689447452139575
22,33,67584,0.0,3054,0.538720703125,0.2,-1.827598214149475,1.7562448451258206e-05,320,16.13827133178711,0.06451927,0.01,-1.0797269344329834,-187.04808025360109,0.03202802525484003
22,34,69632,0.0,3154,0.58544921875,0.2,-1.8643579483032227,0.0012723136087231524,330,16.315540313720703,0.082351044,0.01,0.039382219314575195,-187.67294816970826,0.023962772541563027
22,35,71680,0.0,3254,0.5509765625,0.2,-1.821274995803833,3.575597141178832e-05,340,16.41341781616211,0.058719896,0.01,-0.5918521881103516,-187.97872915267945,0.02970693479583133
21,36,73728,-0.00049155287,3354,0.675390625,0.2,-1.8300905227661133,0.00026943739377074396,350,16.718524932861328,0.11740941,0.01,-0.03510725498199463,-188.78350906372071,0.03541418334061745
21,37,75776,0.0,3453,0.576123046875,0.2,-1.8659545183181763,0.0007383666163150338,360,16.902753829956055,0.08360178,0.01,-0.10681033134460449,-189.1786591529846,0.02288675560266711
