train/actor_loss,train/ent_coef_loss,train/learning_rate,train/reward,time/episodes,time/time_elapsed,train/ent_coef,time/fps,train/critic_loss,time/total_timesteps,train/n_updates
7.32774543762207,28.172502517700195,0.01,-0.014298261,4,1330,0.0001496666227467358,7,0.38004714250564575,10112,10011
5.052326202392578,67.35922241210938,0.01,-0.0084532965,8,2720,2.7770927772508003e-05,7,0.0016161276726052165,20224,20123
3.0447142124176025,-2652.78271484375,0.01,-0.001119999,12,3325,6.751767424181004e-32,9,2.2196007193997502e-05,30336,30235
1.804106593132019,-5042.033203125,0.01,-0.0029055488,16,3909,0.0,10,4.035967504023574e-05,40448,40347
1.048127293586731,-5022.517578125,0.01,-0.007602505,20,4428,0.0,11,0.00015665274986531585,50560,50459
0.6250512599945068,-5963.37646484375,0.01,-0.0063498914,24,4843,0.0,12,3.56074160663411e-05,60672,60571
0.3585473299026489,-7900.82080078125,0.01,-0.0054859146,28,5275,0.0,13,4.9510788812767714e-05,70784,70683
0.21188175678253174,-9995.587890625,0.01,-0.005916294,32,5709,0.0,14,5.6872038840083405e-05,80896,80795
0.12296795845031738,-14710.951171875,0.01,-0.012477002,36,6211,0.0,14,4.899958003079519e-05,91008,90907
0.06261420249938965,-10640.9619140625,0.01,-0.012083664,40,6671,0.0,15,2.9180875571910292e-05,101120,101019
0.03434884548187256,-16103.47265625,0.01,-0.008470621,44,7141,0.0,15,4.823171911993995e-05,111232,111131
0.010766148567199707,-23460.10546875,0.01,-0.014741513,48,7683,0.0,15,6.76492927595973e-05,121344,121243
0.00395810604095459,-5091.9765625,0.01,-0.008981791,52,8158,0.0,16,3.257780917920172e-05,131456,131355
-0.006521940231323242,-15467.525390625,0.01,-0.00854723,56,8610,0.0,16,5.190021329326555e-05,141568,141467
-0.011414527893066406,-20035.61328125,0.01,-0.0057041394,60,9061,0.0,16,4.164359415881336e-05,151680,151579
-0.012488007545471191,-22714.125,0.01,-0.009466196,64,9504,0.0,17,3.374289735802449e-05,161792,161691
-0.015732526779174805,-15601.8671875,0.01,-0.007181579,68,9964,0.0,17,4.698062548413873e-05,171904,171803
-0.016581177711486816,-23222.83203125,0.01,-0.005382591,72,10426,0.0,17,3.11778494506143e-05,182016,181915
0.05561971664428711,-7264.41064453125,0.01,-0.008681339,76,10887,0.0,17,5.205889101489447e-05,192128,192027
