train/actor_loss,time/fps,time/episodes,train/n_updates,train/learning_rate,train/critic_loss,time/time_elapsed,time/total_timesteps,train/reward
-0.33625804048173036,11,4,7584,0.01,0.03739827463021679,860,10112,-0.0026310456
0.1657908170025713,10,8,17696,0.01,0.004728391898194637,1859,20224,-0.0026310456
0.2373690633810585,12,12,27808,0.01,7.417627151912538e-05,2341,30336,-0.0026310456
0.17912127256770677,14,16,37920,0.01,5.100048482079187e-05,2748,40448,-0.0026310456
0.13414321117150255,16,20,48032,0.01,3.730619293464712e-05,3147,50560,-0.0026310456
0.09947181447067216,17,24,58144,0.01,3.389172293620355e-05,3532,60672,-0.0026310456
0.07278033943045177,18,28,68256,0.01,3.020047773096722e-05,3854,70784,-0.0026310456
0.052187420457271455,19,32,78368,0.01,2.818784025820709e-05,4195,80896,-0.0026310456
0.03645997371559939,19,36,88480,0.01,2.709887005609364e-05,4578,91008,-0.0026310456
0.024367769623080952,20,40,98592,0.01,2.637955138218014e-05,4965,101120,-0.0026310456
0.015161181769858386,20,44,108704,0.01,2.5913989509694767e-05,5330,111232,-0.0026310456
0.00790999104052228,21,48,118816,0.01,2.6389537184654785e-05,5714,121344,-0.0026310456
0.0024612144280103786,21,52,128928,0.01,2.6188579267276325e-05,6096,131456,-0.0026310456
-0.001821452780985464,21,56,139040,0.01,2.6144182593889474e-05,6477,141568,-0.0026310456
-0.005163042844402828,22,60,149152,0.01,2.5785360079841864e-05,6868,151680,-0.0026310456
-0.007623431069446327,22,64,159264,0.01,2.6366775563318802e-05,7252,161792,-0.0026310456
-0.009648211323214058,22,68,169376,0.01,2.5770274258124856e-05,7599,171904,-0.0026310456
-0.010990763835010672,22,72,179488,0.01,2.5976901944607597e-05,7957,182016,-0.0026310456
-0.012165510374168523,23,76,189600,0.01,2.589919681905554e-05,8314,192128,-0.0026310456
-0.012914617461906863,23,80,199712,0.01,2.5956325998777174e-05,8664,202240,-0.0026310456
-0.013673453626393847,23,84,209824,0.01,2.6367109805140082e-05,8999,212352,-0.0026310456
-0.014183542246140445,23,88,219936,0.01,2.6200037412876023e-05,9335,222464,-0.0026310456
-0.014518032180546205,24,92,230048,0.01,2.6161470494755605e-05,9669,232576,-0.0026310456
-0.01485044603557267,24,96,240160,0.01,2.5934312894818666e-05,10004,242688,-0.0026310456
-0.015116941424004167,24,100,250272,0.01,2.6035825331800994e-05,10338,252800,-0.0026310456
-0.01527561262821708,24,104,260384,0.01,2.6267703169305834e-05,10930,262912,-0.0026310456
-0.015329688535472731,22,108,270496,0.01,2.606432245086212e-05,12054,273024,-0.0026310456
-0.015401625174651795,21,112,280608,0.01,2.591754006152481e-05,13201,283136,-0.0026310456
-0.015361018115625116,20,116,290720,0.01,2.585820686602036e-05,14340,293248,-0.0026310456
-0.01558277991974632,20,120,300832,0.01,2.597283709546958e-05,14891,303360,-0.0026310456
-0.015578627158280556,20,124,310944,0.01,2.6239421612001622e-05,15311,313472,-0.0026310456
-0.015703668379478296,20,128,321056,0.01,2.571594276073656e-05,15731,323584,-0.0026310456
-0.01572439866287846,20,132,331168,0.01,2.6106824364726693e-05,16157,333696,-0.0026310456
-0.015727550586349556,20,136,341280,0.01,2.618668306975946e-05,16502,343808,-0.0026310456
-0.015709230511985674,21,140,351392,0.01,2.611077591593671e-05,16850,353920,-0.0026310456
-0.015711721282635073,21,144,361504,0.01,2.5997288240645665e-05,17197,364032,-0.0026310456
